timestamp,monitor,ch_1,ch_2
579435.0543968071,Display 1,-1440.0,442.0
579435.062077405,Display 1,-1444.0,442.0
579435.0701312028,Display 1,-1449.0,442.0
579435.0781274007,Display 1,-1452.0,442.0
579435.0861598986,Display 1,-1453.0,441.0
579435.0941857964,Display 1,-1454.0,441.0
579435.1101390921,Display 1,-1454.0,440.0
579435.1503370812,Display 1,-1455.0,440.0
579435.1580613792,Display 1,-1456.0,439.0
579435.1666122768,Display 1,-1456.0,438.0
579435.1740322749,Display 1,-1458.0,436.0
579435.1823881726,Display 1,-1458.0,435.0
579435.1900284705,Display 1,-1461.0,431.0
579435.1980875684,Display 1,-1462.0,429.0
579435.2060695662,Display 1,-1463.0,427.0
579435.214490464,Display 1,-1465.0,425.0
579435.2220697618,Display 1,-1467.0,423.0
579435.2304366597,Display 1,-1468.0,422.0
579435.2380476575,Display 1,-1469.0,420.0
579435.2460703553,Display 1,-1470.0,420.0
